epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1553887701336,2019-03-29T12.28.21.336,0.000,0.012,0.060,0.918
1553887701345,2019-03-29T12.28.21.345,0.009,-0.021,0.074,0.952
1553887701355,2019-03-29T12.28.21.355,0.019,-0.034,0.097,0.966
1553887701365,2019-03-29T12.28.21.365,0.029,-0.054,0.082,0.977
1553887701376,2019-03-29T12.28.21.376,0.040,-0.062,0.063,0.988
1553887701386,2019-03-29T12.28.21.386,0.050,-0.053,0.070,0.995
1553887701395,2019-03-29T12.28.21.395,0.059,-0.043,0.052,0.987
1553887701405,2019-03-29T12.28.21.405,0.069,-0.048,0.062,0.995
1553887701415,2019-03-29T12.28.21.415,0.079,-0.042,0.084,0.996
1553887701425,2019-03-29T12.28.21.425,0.089,-0.034,0.077,0.978
1553887701436,2019-03-29T12.28.21.436,0.100,-0.047,0.110,1.001
1553887701446,2019-03-29T12.28.21.446,0.110,-0.053,0.124,0.998
1553887701455,2019-03-29T12.28.21.455,0.119,-0.078,0.094,1.013
1553887701465,2019-03-29T12.28.21.465,0.129,-0.096,0.094,1.023
1553887701475,2019-03-29T12.28.21.475,0.139,-0.100,0.107,1.039
1553887701485,2019-03-29T12.28.21.485,0.149,-0.100,0.114,1.037
1553887701496,2019-03-29T12.28.21.496,0.160,-0.091,0.122,1.031
1553887701506,2019-03-29T12.28.21.506,0.170,-0.068,0.121,1.027
1553887701515,2019-03-29T12.28.21.515,0.179,-0.051,0.127,1.018
1553887701525,2019-03-29T12.28.21.525,0.189,-0.064,0.116,1.028
1553887701535,2019-03-29T12.28.21.535,0.199,-0.077,0.096,1.035
1553887701546,2019-03-29T12.28.21.546,0.210,-0.065,0.104,1.029
1553887701556,2019-03-29T12.28.21.556,0.220,-0.072,0.142,1.036
1553887701566,2019-03-29T12.28.21.566,0.230,-0.081,0.155,1.035
1553887701575,2019-03-29T12.28.21.575,0.239,-0.091,0.145,1.038
1553887701585,2019-03-29T12.28.21.585,0.249,-0.104,0.128,1.046
1553887701595,2019-03-29T12.28.21.595,0.259,-0.129,0.104,1.059
1553887701606,2019-03-29T12.28.21.606,0.270,-0.117,0.112,1.046
1553887701616,2019-03-29T12.28.21.616,0.280,-0.090,0.107,1.029
1553887701626,2019-03-29T12.28.21.626,0.290,-0.092,0.118,1.015
1553887701635,2019-03-29T12.28.21.635,0.299,-0.102,0.157,1.014
1553887701645,2019-03-29T12.28.21.645,0.309,-0.088,0.171,0.991
1553887701655,2019-03-29T12.28.21.655,0.319,-0.078,0.145,0.979
1553887701666,2019-03-29T12.28.21.666,0.330,-0.093,0.131,0.982
1553887701676,2019-03-29T12.28.21.676,0.340,-0.095,0.135,0.975
1553887701686,2019-03-29T12.28.21.686,0.350,-0.070,0.128,0.958
1553887701695,2019-03-29T12.28.21.695,0.359,-0.078,0.127,0.955
1553887701705,2019-03-29T12.28.21.705,0.369,-0.093,0.127,0.970
1553887701715,2019-03-29T12.28.21.715,0.379,-0.085,0.137,0.954
1553887701726,2019-03-29T12.28.21.726,0.390,-0.091,0.144,0.961
1553887701736,2019-03-29T12.28.21.736,0.400,-0.083,0.104,0.949
1553887701746,2019-03-29T12.28.21.746,0.410,-0.058,0.117,0.932
1553887701755,2019-03-29T12.28.21.755,0.419,-0.090,0.135,0.945
1553887701765,2019-03-29T12.28.21.765,0.429,-0.148,0.100,0.985
1553887701775,2019-03-29T12.28.21.775,0.439,-0.110,0.089,0.961
1553887701786,2019-03-29T12.28.21.786,0.450,-0.060,0.096,0.938
1553887701796,2019-03-29T12.28.21.796,0.460,-0.048,0.099,0.937
1553887701806,2019-03-29T12.28.21.806,0.470,-0.069,0.105,0.947
