Time (s),x Accel,y Accel,z Accel,x Vel,y Vel,x Dis,y Dis,Interval Index Range,Interval #,Last Interval Value X,Last Interval Value Y,Offset X,Offset Y,Corrected x Dis,Corrected y Dis
0,0.083558251,-0.084579318,0,0,0,0,0,0 to 495,0,1.222035607,-1.206198716,0,0,0,0
0,0.085056839,-0.085090535,0,0,0,0,0,495 to 994,1,1.664415,-0.79697863,1.222035607,-1.206198716,0,0
0,0.086507329,-0.085616146,0,0,0,0,0,994 to 1493,2,0.498464521,-1.16509634,2.886450607,-2.003177346,0,0
0,0.087902695,-0.086156178,0,0,0,0,0,1493 to 1992,3,0.853558643,-0.922409768,3.384915128,-3.168273686,0,0
0,0.089235034,-0.0867115,0,0,0,0,0,1992 to 2491,4,1.283128598,-0.828824763,4.238473771,-4.090683454,0,0
0,0.090495893,-0.087283411,0,0.009108655,-0.00875782,0.000910865,-0.000875782,2491 to 2990,5,2.03009326,0.515800029,5.521602368,-4.919508217,0.000910865,-0.000875782
0.1,0.091677202,-0.087872979,0,0.009108655,-0.00875782,0.000910865,-0.000875782,2990 to 3489,6,1.28355844,-0.727919503,7.551695628,-4.403708187,0.000910865,-0.000875782
0.1,0.092772257,-0.088480491,0,0.009108655,-0.00875782,0.000910865,-0.000875782,3489 to 3987,7,1.237983186,-0.827505135,8.835254068,-5.13162769,0.000910865,-0.000875782
0.1,0.093776389,-0.089105317,0,0.009108655,-0.00875782,0.000910865,-0.000875782,3987 to 4486,8,2.054593932,-0.390375787,10.07323725,-5.959132825,0.000910865,-0.000875782
0.1,0.094687412,-0.089746344,0,0.009108655,-0.00875782,0.000910865,-0.000875782,4486 to 4985,9,1.428511669,-0.713537249,12.12783119,-6.349508613,0.000910865,-0.000875782
0.1,0.095505782,-0.0904026,0,0.009108655,-0.00875782,0.000910865,-0.000875782,4985 to 5484,10,0.942052751,-0.301219924,13.55634285,-7.063045862,0.000910865,-0.000875782
0.1,0.096234075,-0.091073702,0,0.009108655,-0.00875782,0.000910865,-0.000875782,5484 to 5983,11,1.107074519,-0.933444977,14.49839561,-7.364265786,0.000910865,-0.000875782
0.1,0.0968759,-0.091759965,0,0.009108655,-0.00875782,0.000910865,-0.000875782,5983 to 6482,12,1.226687527,-0.50494969,15.60547012,-8.297710763,0.000910865,-0.000875782
0.1,0.097434941,-0.092462161,0,0.009108655,-0.00875782,0.000910865,-0.000875782,6482 to 6981,13,1.120613546,-0.130236168,16.83215765,-8.802660453,0.000910865,-0.000875782
0.1,0.097914731,-0.09318116,0,0.018920344,-0.01811277,0.0028029,-0.002687059,6981 to 7480,14,1.349867143,-0.585235393,17.9527712,-8.93289662,0.0028029,-0.002687059
0.2,0.098319047,-0.093917845,0,0.018920344,-0.01811277,0.0028029,-0.002687059,7480 to 7978,15,1.203973285,-0.544234772,19.30263834,-9.518132013,0.0028029,-0.002687059
0.2,0.098652255,-0.094673314,0,0.018920344,-0.01811277,0.0028029,-0.002687059,7978 to 8477,16,1.302009197,-0.63505803,20.50661163,-10.06236679,0.0028029,-0.002687059
0.2,0.098919135,-0.095449198,0,0.018920344,-0.01811277,0.0028029,-0.002687059,8477 to 8976,17,1.452331918,-0.780757951,21.80862082,-10.69742482,0.0028029,-0.002687059
0.2,0.099124467,-0.096248006,0,0.018920344,-0.01811277,0.0028029,-0.002687059,,,,,,,0.0028029,-0.002687059
0.2,0.09927304,-0.097073389,0,0.018920344,-0.01811277,0.0028029,-0.002687059,,,,,,,0.0028029,-0.002687059
0.2,0.099370232,-0.097930063,0,0.018920344,-0.01811277,0.0028029,-0.002687059,,,,,,,0.0028029,-0.002687059
0.2,0.099422743,-0.09882328,0,0.018920344,-0.01811277,0.0028029,-0.002687059,,,,,,,0.0028029,-0.002687059
0.2,0.099438972,-0.099757886,0,0.018920344,-0.01811277,0.0028029,-0.002687059,,,,,,,0.0028029,-0.002687059
0.2,0.099428824,-0.100737252,0,0.018920344,-0.01811277,0.0028029,-0.002687059,,,,,,,0.0028029,-0.002687059
0.2,0.099403085,-0.101762488,0,0.028859128,-0.028342508,0.005688813,-0.00552131,,,,,,,0.005688813,-0.00552131
0.3,0.099372606,-0.102832272,0,0.028859128,-0.028342508,0.005688813,-0.00552131,,,,,,,0.005688813,-0.00552131
0.3,0.099347464,-0.103943306,0,0.028859128,-0.028342508,0.005688813,-0.00552131,,,,,,,0.005688813,-0.00552131
0.3,0.099336169,-0.105091045,0,0.028859128,-0.028342508,0.005688813,-0.00552131,,,,,,,0.005688813,-0.00552131
0.3,0.099345063,-0.106270255,0,0.028859128,-0.028342508,0.005688813,-0.00552131,,,,,,,0.005688813,-0.00552131
0.3,0.099378139,-0.107475336,0,0.028859128,-0.028342508,0.005688813,-0.00552131,,,,,,,0.005688813,-0.00552131
0.3,0.099437267,-0.108700461,0,0.028859128,-0.028342508,0.005688813,-0.00552131,,,,,,,0.005688813,-0.00552131
0.3,0.099522708,-0.109939477,0,0.028859128,-0.028342508,0.005688813,-0.00552131,,,,,,,0.005688813,-0.00552131
0.3,0.099633787,-0.111185726,0,0.028859128,-0.028342508,0.005688813,-0.00552131,,,,,,,0.005688813,-0.00552131
0.3,0.099769502,-0.112432184,0,0.028859128,-0.028342508,0.005688813,-0.00552131,,,,,,,0.005688813,-0.00552131
0.3,0.09992876,-0.113671913,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.100110217,-0.114898543,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.100311893,-0.116106771,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.100530824,-0.117292937,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.100762959,-0.118455215,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.101003411,-0.119593032,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.101247032,-0.120705969,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.101489257,-0.121792954,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.101726941,-0.122852253,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.101958646,-0.123882028,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.102184107,-0.124880859,0,0.038861077,-0.039771031,0.00957492,-0.009498413,,,,,,,0.00957492,-0.009498413
0.4,0.102403316,-0.125847934,0,0.049112034,-0.052402578,0.014486124,-0.01473867,,,,,,,0.014486124,-0.01473867
0.5,0.102615815,-0.126783006,0,0.049112034,-0.052402578,0.014486124,-0.01473867,,,,,,,0.014486124,-0.01473867
0.5,0.102820392,-0.127686263,0,0.049112034,-0.052402578,0.014486124,-0.01473867,,,,,,,0.014486124,-0.01473867
0.5,0.103015191,-0.128557998,0,0.049112034,-0.052402578,0.014486124,-0.01473867,,,,,,,0.014486124,-0.01473867
0.5,0.103198206,-0.129398005,0,0.049112034,-0.052402578,0.014486124,-0.01473867,,,,,,,0.014486124,-0.01473867
0.5,0.103367989,-0.130205,0,0.049112034,-0.052402578,0.014486124,-0.01473867,,,,,,,0.014486124,-0.01473867
0.5,0.103524009,-0.130976439,0,0.049112034,-0.052402578,0.014486124,-0.01473867,,,,,,,0.014486124,-0.01473867
0.5,0.103666397,-0.131708844,0,0.049112034,-0.052402578,0.014486124,-0.01473867,,,,,,,0.014486124,-0.01473867
0.5,0.103795465,-0.132398448,0,0.049112034,-0.052402578,0.014486124,-0.01473867,,,,,,,0.014486124,-0.01473867
0.5,0.103911375,-0.133041855,0,0.059508296,-0.065736496,0.020436953,-0.02131232,,,,,,,0.020436953,-0.02131232
0.6,0.104013878,-0.13363651,0,0.059508296,-0.065736496,0.020436953,-0.02131232,,,,,,,0.020436953,-0.02131232
0.6,0.104102045,-0.134180985,0,0.059508296,-0.065736496,0.020436953,-0.02131232,,,,,,,0.020436953,-0.02131232
0.6,0.104174225,-0.134675061,0,0.059508296,-0.065736496,0.020436953,-0.02131232,,,,,,,0.020436953,-0.02131232
0.6,0.104228424,-0.135119599,0,0.059508296,-0.065736496,0.020436953,-0.02131232,,,,,,,0.020436953,-0.02131232
0.6,0.104262807,-0.135516272,0,0.059508296,-0.065736496,0.020436953,-0.02131232,,,,,,,0.020436953,-0.02131232
0.6,0.104275989,-0.135867317,0,0.059508296,-0.065736496,0.020436953,-0.02131232,,,,,,,0.020436953,-0.02131232
0.6,0.104267173,-0.136175361,0,0.059508296,-0.065736496,0.020436953,-0.02131232,,,,,,,0.020436953,-0.02131232
0.6,0.104236282,-0.136443244,0,0.059508296,-0.065736496,0.020436953,-0.02131232,,,,,,,0.020436953,-0.02131232
0.6,0.104183855,-0.136673862,0,0.059508296,-0.065736496,0.020436953,-0.02131232,,,,,,,0.020436953,-0.02131232
0.6,0.104110673,-0.136870206,0,0.069914699,-0.079431786,0.027428423,-0.029255499,,,,,,,0.027428423,-0.029255499
0.7,0.104017383,-0.137035598,0,0.069914699,-0.079431786,0.027428423,-0.029255499,,,,,,,0.027428423,-0.029255499
0.7,0.103904315,-0.137173675,0,0.069914699,-0.079431786,0.027428423,-0.029255499,,,,,,,0.027428423,-0.029255499
0.7,0.103771533,-0.137287805,0,0.069914699,-0.079431786,0.027428423,-0.029255499,,,,,,,0.027428423,-0.029255499
0.7,0.103619095,-0.137380353,0,0.069914699,-0.079431786,0.027428423,-0.029255499,,,,,,,0.027428423,-0.029255499
0.7,0.103447444,-0.137452539,0,0.069914699,-0.079431786,0.027428423,-0.029255499,,,,,,,0.027428423,-0.029255499
0.7,0.103257742,-0.137504982,0,0.069914699,-0.079431786,0.027428423,-0.029255499,,,,,,,0.027428423,-0.029255499
0.7,0.1030518,-0.137538308,0,0.069914699,-0.079431786,0.027428423,-0.029255499,,,,,,,0.027428423,-0.029255499
0.7,0.102831641,-0.137553449,0,0.069914699,-0.079431786,0.027428423,-0.029255499,,,,,,,0.027428423,-0.029255499
0.7,0.102599141,-0.137551665,0,0.069914699,-0.079431786,0.027428423,-0.029255499,,,,,,,0.027428423,-0.029255499
0.7,0.102356009,-0.137534272,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.102103823,-0.137502105,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.101843875,-0.137454717,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.101576848,-0.137389234,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.101302485,-0.137299115,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.101019264,-0.13717379,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.100724242,-0.137000087,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.100413964,-0.136764789,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.100086544,-0.136456812,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.099742927,-0.136068035,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.099385936,-0.135592724,0,0.080137691,-0.093183605,0.035442192,-0.038573859,,,,,,,0.035442192,-0.038573859
0.8,0.09901885,-0.135026434,0,0.090020896,-0.106653193,0.044444282,-0.049239178,,,,,,,0.044444282,-0.049239178
0.9,0.098645264,-0.134365331,0,0.090020896,-0.106653193,0.044444282,-0.049239178,,,,,,,0.044444282,-0.049239178
0.9,0.098269601,-0.133606003,0,0.090020896,-0.106653193,0.044444282,-0.049239178,,,,,,,0.044444282,-0.049239178
0.9,0.097897303,-0.132745623,0,0.090020896,-0.106653193,0.044444282,-0.049239178,,,,,,,0.044444282,-0.049239178
0.9,0.097534462,-0.131782397,0,0.090020896,-0.106653193,0.044444282,-0.049239178,,,,,,,0.044444282,-0.049239178
0.9,0.097186932,-0.130715889,0,0.090020896,-0.106653193,0.044444282,-0.049239178,,,,,,,0.044444282,-0.049239178
0.9,0.09685945,-0.129547256,0,0.090020896,-0.106653193,0.044444282,-0.049239178,,,,,,,0.044444282,-0.049239178
0.9,0.096555267,-0.128279857,0,0.090020896,-0.106653193,0.044444282,-0.049239178,,,,,,,0.044444282,-0.049239178
0.9,0.096276112,-0.126920152,0,0.090020896,-0.106653193,0.044444282,-0.049239178,,,,,,,0.044444282,-0.049239178
0.9,0.09602221,-0.125478378,0,0.099611624,-0.119125554,0.054405444,-0.061151734,,,,,,,0.054405444,-0.061151734
1,0.09579235,-0.123968844,0,0.099611624,-0.119125554,0.054405444,-0.061151734,,,,,,,0.054405444,-0.061151734
1,0.095583947,-0.12240954,0,0.099611624,-0.119125554,0.054405444,-0.061151734,,,,,,,0.054405444,-0.061151734
1,0.095392951,-0.120820611,0,0.099611624,-0.119125554,0.054405444,-0.061151734,,,,,,,0.054405444,-0.061151734
1,0.095213837,-0.119221682,0,0.099611624,-0.119125554,0.054405444,-0.061151734,,,,,,,0.054405444,-0.061151734
