Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS
33.41725,-111.93252,322,2.48,2019-04-08T19:04:44.000Z,gps,33.41725,-111.93252,322,3.22,0.00,0.0,gps [GPS],00:00:00,0.0,0.0,,,,false,21 / 22,0,0.0,1,0.9,0.7,0.6,-,-,Car,12:04:44 MST,12:04:44.039
33.41720,-111.93251,324,2.48,2019-04-08T19:04:50.000Z,gps,33.41719,-111.93251,324,3.22,1.27,180.2,gps [GPS],00:00:06,5.7,0.0,,,,false,20 / 22,6,5.7,1,0.9,0.7,0.6,-,-,Car,12:04:50 MST,12:04:50.056
33.41714,-111.93252,324,2.48,2019-04-08T19:04:54.000Z,gps,33.41713,-111.93252,324,3.22,1.26,179.5,gps [GPS],00:00:04,5.9,0.0,,,,false,21 / 22,10,11.6,1,0.9,0.7,0.6,-,-,Car,12:04:54 MST,12:04:54.049
33.41709,-111.93252,324,2.48,2019-04-08T19:04:58.000Z,gps,33.41708,-111.93252,324,3.22,1.21,180.1,gps [GPS],00:00:04,5.6,0.0,,,,false,21 / 22,14,17.2,1,0.9,0.7,0.6,-,-,Car,12:04:58 MST,12:04:58.038
33.41704,-111.93252,324,2.48,2019-04-08T19:05:02.000Z,gps,33.41704,-111.93252,324,3.22,1.24,178.4,gps [GPS],00:00:04,5.5,0.0,,,,false,21 / 22,18,22.6,1,0.9,0.7,0.6,-,-,Car,12:05:02 MST,12:05:02.042
33.41699,-111.93252,325,2.48,2019-04-08T19:05:06.000Z,gps,33.41698,-111.93252,325,3.22,1.27,184.2,gps [GPS],00:00:04,5.7,0.0,,,,false,21 / 22,22,28.3,1,0.9,0.7,0.6,-,-,Car,12:05:06 MST,12:05:06.062
33.41694,-111.93253,325,2.48,2019-04-08T19:05:10.000Z,gps,33.41693,-111.93253,325,3.22,1.31,180.2,gps [GPS],00:00:04,5.7,0.0,,,,false,21 / 22,26,34.1,1,0.9,0.7,0.6,-,-,Car,12:05:10 MST,12:05:10.067
33.41689,-111.93253,325,2.48,2019-04-08T19:05:14.000Z,gps,33.41688,-111.93253,325,3.22,1.29,179.9,gps [GPS],00:00:04,5.4,0.0,,,,false,21 / 22,30,39.5,1,0.9,0.7,0.6,-,-,Car,12:05:14 MST,12:05:14.043
33.41684,-111.93253,325,2.48,2019-04-08T19:05:18.000Z,gps,33.41683,-111.93253,325,3.22,1.36,182.6,gps [GPS],00:00:04,5.5,0.0,,,,false,21 / 22,34,45.1,1,0.9,0.7,0.6,-,-,Car,12:05:18 MST,12:05:18.045
33.41679,-111.93253,325,2.48,2019-04-08T19:05:22.000Z,gps,33.41678,-111.93253,325,3.22,1.17,181.0,gps [GPS],00:00:04,5.6,0.0,,,,false,21 / 22,38,50.7,1,0.9,0.7,0.6,-,-,Car,12:05:22 MST,12:05:22.041
