epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1554750183824,2019-04-08T12.03.03.824,0.000,0.667,-0.045,-0.756
1554750183834,2019-04-08T12.03.03.834,0.010,0.674,-0.051,-0.759
1554750183845,2019-04-08T12.03.03.845,0.021,0.674,-0.052,-0.755
1554750183855,2019-04-08T12.03.03.855,0.031,0.675,-0.052,-0.753
1554750183864,2019-04-08T12.03.03.864,0.040,0.674,-0.050,-0.756
1554750183874,2019-04-08T12.03.03.874,0.050,0.680,-0.048,-0.763
1554750183884,2019-04-08T12.03.03.884,0.060,0.677,-0.044,-0.768
1554750183894,2019-04-08T12.03.03.894,0.070,0.675,-0.040,-0.774
1554750183905,2019-04-08T12.03.03.905,0.081,0.677,-0.040,-0.781
1554750183913,2019-04-08T12.03.03.913,0.089,0.676,-0.041,-0.782
1554750183924,2019-04-08T12.03.03.924,0.100,0.676,-0.040,-0.780
1554750183934,2019-04-08T12.03.03.934,0.110,0.674,-0.037,-0.778
1554750183944,2019-04-08T12.03.03.944,0.120,0.672,-0.038,-0.777
1554750183954,2019-04-08T12.03.03.954,0.130,0.671,-0.042,-0.773
1554750183965,2019-04-08T12.03.03.965,0.141,0.670,-0.047,-0.768
1554750183973,2019-04-08T12.03.03.973,0.149,0.671,-0.051,-0.761
1554750183984,2019-04-08T12.03.03.984,0.160,0.673,-0.054,-0.752
1554750183994,2019-04-08T12.03.03.994,0.170,0.676,-0.051,-0.749
1554750184004,2019-04-08T12.03.04.004,0.180,0.675,-0.055,-0.751
1554750184015,2019-04-08T12.03.04.015,0.191,0.676,-0.057,-0.753
1554750184025,2019-04-08T12.03.04.025,0.201,0.672,-0.053,-0.758
1554750184034,2019-04-08T12.03.04.034,0.210,0.670,-0.051,-0.766
1554750184044,2019-04-08T12.03.04.044,0.220,0.674,-0.049,-0.770
1554750184054,2019-04-08T12.03.04.054,0.230,0.680,-0.048,-0.771
1554750184064,2019-04-08T12.03.04.064,0.240,0.679,-0.051,-0.777
1554750184075,2019-04-08T12.03.04.075,0.251,0.677,-0.051,-0.775
1554750184083,2019-04-08T12.03.04.083,0.259,0.675,-0.051,-0.777
1554750184094,2019-04-08T12.03.04.094,0.270,0.672,-0.055,-0.780
1554750184104,2019-04-08T12.03.04.104,0.280,0.671,-0.055,-0.778
1554750184114,2019-04-08T12.03.04.114,0.290,0.672,-0.054,-0.779
1554750184124,2019-04-08T12.03.04.124,0.300,0.668,-0.053,-0.775
1554750184135,2019-04-08T12.03.04.135,0.311,0.670,-0.052,-0.774
1554750184143,2019-04-08T12.03.04.143,0.319,0.674,-0.054,-0.771
1554750184154,2019-04-08T12.03.04.154,0.330,0.670,-0.056,-0.771
1554750184164,2019-04-08T12.03.04.164,0.340,0.670,-0.056,-0.768
1554750184174,2019-04-08T12.03.04.174,0.350,0.670,-0.056,-0.763
1554750184184,2019-04-08T12.03.04.184,0.360,0.673,-0.060,-0.762
1554750184195,2019-04-08T12.03.04.195,0.371,0.671,-0.059,-0.761
1554750184203,2019-04-08T12.03.04.203,0.379,0.670,-0.056,-0.761
1554750184214,2019-04-08T12.03.04.214,0.390,0.668,-0.053,-0.771
1554750184224,2019-04-08T12.03.04.224,0.400,0.673,-0.053,-0.780
1554750184234,2019-04-08T12.03.04.234,0.410,0.672,-0.052,-0.788
1554750184244,2019-04-08T12.03.04.244,0.420,0.671,-0.051,-0.787
1554750184255,2019-04-08T12.03.04.255,0.431,0.673,-0.049,-0.787
1554750184264,2019-04-08T12.03.04.264,0.440,0.674,-0.048,-0.785
1554750184274,2019-04-08T12.03.04.274,0.450,0.675,-0.048,-0.778
1554750184284,2019-04-08T12.03.04.284,0.460,0.674,-0.048,-0.774
1554750184294,2019-04-08T12.03.04.294,0.470,0.668,-0.046,-0.768
1554750184305,2019-04-08T12.03.04.305,0.481,0.666,-0.046,-0.767
1554750184313,2019-04-08T12.03.04.313,0.489,0.668,-0.047,-0.766
1554750184324,2019-04-08T12.03.04.324,0.500,0.668,-0.045,-0.765
1554750184334,2019-04-08T12.03.04.334,0.510,0.669,-0.042,-0.762
1554750184344,2019-04-08T12.03.04.344,0.520,0.671,-0.042,-0.758
1554750184354,2019-04-08T12.03.04.354,0.530,0.674,-0.042,-0.757
1554750184365,2019-04-08T12.03.04.365,0.541,0.676,-0.041,-0.755
1554750276356,2019-04-08T12.04.36.356,92.532,0.079,0.001,-1.017
1554750276367,2019-04-08T12.04.36.367,92.543,0.083,0.001,-1.024
1554750276377,2019-04-08T12.04.36.377,92.553,0.086,0.005,-1.020
1554750276387,2019-04-08T12.04.36.387,92.563,0.085,0.002,-1.017
1554750276397,2019-04-08T12.04.36.397,92.573,0.081,-0.004,-1.016
1554750276406,2019-04-08T12.04.36.406,92.582,0.078,-0.005,-1.015
1554750276416,2019-04-08T12.04.36.416,92.592,0.077,-0.005,-1.015
1554750276427,2019-04-08T12.04.36.427,92.603,0.083,-0.006,-1.018
1554750276437,2019-04-08T12.04.36.437,92.613,0.084,-0.005,-1.018
1554750276447,2019-04-08T12.04.36.447,92.623,0.076,-0.008,-1.023
1554750276457,2019-04-08T12.04.36.457,92.633,0.069,-0.008,-1.025
1554750276466,2019-04-08T12.04.36.466,92.642,0.076,-0.008,-1.027
1554750276476,2019-04-08T12.04.36.476,92.652,0.080,-0.007,-1.031
1554750276487,2019-04-08T12.04.36.487,92.663,0.079,-0.005,-1.036
1554750276497,2019-04-08T12.04.36.497,92.673,0.079,-0.004,-1.039
1554750276507,2019-04-08T12.04.36.507,92.683,0.079,-0.005,-1.037
1554750276518,2019-04-08T12.04.36.518,92.694,0.082,-0.002,-1.035
1554750276526,2019-04-08T12.04.36.526,92.702,0.087,-0.001,-1.029
1554750276537,2019-04-08T12.04.36.537,92.713,0.090,0.001,-1.022
1554750276547,2019-04-08T12.04.36.547,92.723,0.086,-0.004,-1.023
1554750276557,2019-04-08T12.04.36.557,92.733,0.085,-0.004,-1.027
1554750276567,2019-04-08T12.04.36.567,92.743,0.088,-0.003,-1.026
1554750276576,2019-04-08T12.04.36.576,92.752,0.083,-0.008,-1.027
1554750276586,2019-04-08T12.04.36.586,92.762,0.083,-0.008,-1.029
1554750276597,2019-04-08T12.04.36.597,92.773,0.082,-0.008,-1.028
1554750276607,2019-04-08T12.04.36.607,92.783,0.082,-0.006,-1.027
1554750276617,2019-04-08T12.04.36.617,92.793,0.085,-0.004,-1.027
1554750276627,2019-04-08T12.04.36.627,92.803,0.087,-0.004,-1.030
1554750276636,2019-04-08T12.04.36.636,92.812,0.080,-0.001,-1.031
1554750276646,2019-04-08T12.04.36.646,92.822,0.075,-0.001,-1.034
1554750276657,2019-04-08T12.04.36.657,92.833,0.076,-0.001,-1.032
1554750276667,2019-04-08T12.04.36.667,92.843,0.080,0.002,-1.030
1554750276677,2019-04-08T12.04.36.677,92.853,0.079,0.002,-1.022
1554750276687,2019-04-08T12.04.36.687,92.863,0.076,-0.002,-1.016
1554750276696,2019-04-08T12.04.36.696,92.872,0.075,-0.005,-1.019
1554750276706,2019-04-08T12.04.36.706,92.882,0.072,-0.007,-1.025
1554750276717,2019-04-08T12.04.36.717,92.893,0.073,-0.007,-1.026
1554750276727,2019-04-08T12.04.36.727,92.903,0.073,-0.004,-1.032
1554750276737,2019-04-08T12.04.36.737,92.913,0.074,-0.007,-1.031
1554750276746,2019-04-08T12.04.36.746,92.922,0.075,-0.006,-1.029
1554750276756,2019-04-08T12.04.36.756,92.932,0.075,-0.002,-1.030
1554750276767,2019-04-08T12.04.36.767,92.943,0.075,-0.000,-1.030
1554750276777,2019-04-08T12.04.36.777,92.953,0.075,0.002,-1.033
1554750276787,2019-04-08T12.04.36.787,92.963,0.076,0.002,-1.027
1554750276797,2019-04-08T12.04.36.797,92.973,0.078,0.006,-1.017
1554750276806,2019-04-08T12.04.36.806,92.982,0.080,0.007,-1.014
1554750276816,2019-04-08T12.04.36.816,92.992,0.078,0.002,-1.011
1554750276827,2019-04-08T12.04.36.827,93.003,0.079,-0.003,-1.011
1554750276837,2019-04-08T12.04.36.837,93.013,0.078,-0.005,-1.015
1554750276847,2019-04-08T12.04.36.847,93.023,0.074,-0.006,-1.018
1554750276857,2019-04-08T12.04.36.857,93.033,0.070,-0.009,-1.019
1554750276866,2019-04-08T12.04.36.866,93.042,0.072,-0.012,-1.025
1554750276876,2019-04-08T12.04.36.876,93.052,0.075,-0.011,-1.027
1554750276887,2019-04-08T12.04.36.887,93.063,0.076,-0.011,-1.029
1554750276897,2019-04-08T12.04.36.897,93.073,0.078,-0.015,-1.031
1554750276907,2019-04-08T12.04.36.907,93.083,0.078,-0.015,-1.031
1554750276916,2019-04-08T12.04.36.916,93.092,0.075,-0.011,-1.030
1554750276926,2019-04-08T12.04.36.926,93.102,0.074,-0.012,-1.032
1554750276936,2019-04-08T12.04.36.936,93.112,0.074,-0.012,-1.027
1554750276947,2019-04-08T12.04.36.947,93.123,0.074,-0.010,-1.028
1554750276957,2019-04-08T12.04.36.957,93.133,0.076,-0.009,-1.028
1554750276967,2019-04-08T12.04.36.967,93.143,0.079,-0.008,-1.025
1554750276976,2019-04-08T12.04.36.976,93.152,0.080,-0.009,-1.022
1554750276986,2019-04-08T12.04.36.986,93.162,0.078,-0.006,-1.022
1554750276997,2019-04-08T12.04.36.997,93.173,0.076,-0.008,-1.023
1554750277007,2019-04-08T12.04.37.007,93.183,0.074,-0.013,-1.024
1554750277017,2019-04-08T12.04.37.017,93.193,0.076,-0.015,-1.022
1554750277027,2019-04-08T12.04.37.027,93.203,0.075,-0.014,-1.024
1554750277036,2019-04-08T12.04.37.036,93.212,0.073,-0.013,-1.031
1554750277046,2019-04-08T12.04.37.046,93.222,0.073,-0.010,-1.038
1554750277057,2019-04-08T12.04.37.057,93.233,0.073,-0.007,-1.039
1554750277067,2019-04-08T12.04.37.067,93.243,0.074,-0.009,-1.039
1554750277077,2019-04-08T12.04.37.077,93.253,0.071,-0.004,-1.040
1554750277086,2019-04-08T12.04.37.086,93.262,0.075,0.001,-1.032
1554750277096,2019-04-08T12.04.37.096,93.272,0.079,-0.000,-1.029
1554750277106,2019-04-08T12.04.37.106,93.282,0.080,0.002,-1.027
1554750277117,2019-04-08T12.04.37.117,93.293,0.075,0.001,-1.025
1554750277127,2019-04-08T12.04.37.127,93.303,0.073,0.000,-1.020
1554750277137,2019-04-08T12.04.37.137,93.313,0.071,0.001,-1.015
1554750277146,2019-04-08T12.04.37.146,93.322,0.072,-0.002,-1.012
1554750277156,2019-04-08T12.04.37.156,93.332,0.073,-0.003,-1.009
1554750277166,2019-04-08T12.04.37.166,93.342,0.072,-0.002,-1.015
1554750277177,2019-04-08T12.04.37.177,93.353,0.073,-0.004,-1.025
1554750277187,2019-04-08T12.04.37.187,93.363,0.069,-0.004,-1.029
1554750277197,2019-04-08T12.04.37.197,93.373,0.068,-0.005,-1.037
1554750277206,2019-04-08T12.04.37.206,93.382,0.072,-0.005,-1.035
1554750277216,2019-04-08T12.04.37.216,93.392,0.074,-0.007,-1.033
1554750277226,2019-04-08T12.04.37.226,93.402,0.066,-0.009,-1.035
1554750277237,2019-04-08T12.04.37.237,93.413,0.061,-0.009,-1.036
1554750277247,2019-04-08T12.04.37.247,93.423,0.067,-0.005,-1.033
1554750277256,2019-04-08T12.04.37.256,93.432,0.073,-0.005,-1.028
1554750277266,2019-04-08T12.04.37.266,93.442,0.076,-0.005,-1.019
1554750277276,2019-04-08T12.04.37.276,93.452,0.078,-0.008,-1.010
1554750277287,2019-04-08T12.04.37.287,93.463,0.078,-0.016,-1.014
1554750277297,2019-04-08T12.04.37.297,93.473,0.076,-0.015,-1.021
1554750277307,2019-04-08T12.04.37.307,93.483,0.072,-0.012,-1.026
1554750277316,2019-04-08T12.04.37.316,93.492,0.070,-0.015,-1.030
1554750277326,2019-04-08T12.04.37.326,93.502,0.070,-0.014,-1.031
1554750277336,2019-04-08T12.04.37.336,93.512,0.066,-0.007,-1.037
1554750277347,2019-04-08T12.04.37.347,93.523,0.066,-0.006,-1.044
1554750277357,2019-04-08T12.04.37.357,93.533,0.069,0.000,-1.041
1554750277367,2019-04-08T12.04.37.367,93.543,0.071,0.002,-1.044
1554750277376,2019-04-08T12.04.37.376,93.552,0.071,0.004,-1.035
1554750277386,2019-04-08T12.04.37.386,93.562,0.068,0.001,-1.025
1554750277396,2019-04-08T12.04.37.396,93.572,0.071,-0.002,-1.020
