epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1553539150255,2019-03-25T11.39.10.255,0.000,0.113,0.034,-1.031
1553539150266,2019-03-25T11.39.10.266,0.011,0.101,0.020,-1.051
1553539150276,2019-03-25T11.39.10.276,0.021,0.092,0.018,-1.048
1553539150285,2019-03-25T11.39.10.285,0.030,0.100,0.026,-1.042
1553539150295,2019-03-25T11.39.10.295,0.040,0.117,0.037,-1.040
1553539150305,2019-03-25T11.39.10.305,0.050,0.137,0.042,-1.030
1553539150316,2019-03-25T11.39.10.316,0.061,0.142,0.050,-1.005
1553539150326,2019-03-25T11.39.10.326,0.071,0.145,0.039,-0.918
1553539150335,2019-03-25T11.39.10.335,0.080,0.160,0.021,-0.926
1553539150345,2019-03-25T11.39.10.345,0.090,0.150,0.026,-1.055
1553539150355,2019-03-25T11.39.10.355,0.100,0.131,0.012,-1.107
1553539150365,2019-03-25T11.39.10.365,0.110,0.114,0.022,-1.110
1553539150376,2019-03-25T11.39.10.376,0.121,0.113,0.030,-1.099
1553539150386,2019-03-25T11.39.10.386,0.131,0.124,0.028,-1.087
1553539150395,2019-03-25T11.39.10.395,0.140,0.137,0.023,-1.056
1553539150405,2019-03-25T11.39.10.405,0.150,0.129,0.019,-1.006
1553539150415,2019-03-25T11.39.10.415,0.160,0.118,0.013,-0.974
1553539150425,2019-03-25T11.39.10.425,0.170,0.117,0.007,-0.971
1553539150436,2019-03-25T11.39.10.436,0.181,0.129,0.005,-0.995
1553539150446,2019-03-25T11.39.10.446,0.191,0.144,0.013,-1.027
1553539150455,2019-03-25T11.39.10.455,0.200,0.148,0.024,-1.054
1553539150465,2019-03-25T11.39.10.465,0.210,0.146,0.041,-1.061
1553539150475,2019-03-25T11.39.10.475,0.220,0.135,0.053,-1.049
1553539150485,2019-03-25T11.39.10.485,0.230,0.123,0.053,-1.041
1553539150496,2019-03-25T11.39.10.496,0.241,0.114,0.046,-1.035
1553539150506,2019-03-25T11.39.10.506,0.251,0.103,0.028,-1.026
1553539150515,2019-03-25T11.39.10.515,0.260,0.091,0.021,-1.025
1553539150525,2019-03-25T11.39.10.525,0.270,0.091,0.021,-1.031
1553539150535,2019-03-25T11.39.10.535,0.280,0.095,0.011,-1.038
1553539150546,2019-03-25T11.39.10.546,0.291,0.101,0.014,-1.028
1553539150556,2019-03-25T11.39.10.556,0.301,0.111,0.021,-1.020
