epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1553890099049,2019-03-29T13.08.19.049,0.000,0.018,0.131,0.979
1553890099059,2019-03-29T13.08.19.059,0.010,0.016,0.132,0.987
1553890099069,2019-03-29T13.08.19.069,0.020,0.016,0.132,0.987
1553890099078,2019-03-29T13.08.19.078,0.029,0.019,0.131,0.984
1553890099088,2019-03-29T13.08.19.088,0.039,0.017,0.132,0.984
1553890099099,2019-03-29T13.08.19.099,0.050,0.016,0.133,0.984
1553890099109,2019-03-29T13.08.19.109,0.060,0.016,0.131,0.985
1553890099119,2019-03-29T13.08.19.119,0.070,0.016,0.132,0.984
1553890099129,2019-03-29T13.08.19.129,0.080,0.017,0.131,0.983
1553890099140,2019-03-29T13.08.19.140,0.091,0.019,0.131,0.985
1553890099149,2019-03-29T13.08.19.149,0.100,0.017,0.132,0.984
1553890099159,2019-03-29T13.08.19.159,0.110,0.016,0.132,0.984
1553890099169,2019-03-29T13.08.19.169,0.120,0.015,0.131,0.985
1553890099179,2019-03-29T13.08.19.179,0.130,0.016,0.133,0.980
1553890099190,2019-03-29T13.08.19.190,0.141,0.014,0.132,0.986
1553890099200,2019-03-29T13.08.19.200,0.151,0.016,0.133,0.984
1553890099209,2019-03-29T13.08.19.209,0.160,0.018,0.131,0.983
1553890099219,2019-03-29T13.08.19.219,0.170,0.016,0.133,0.986
1553890099229,2019-03-29T13.08.19.229,0.180,0.015,0.132,0.982
1553890099239,2019-03-29T13.08.19.239,0.190,0.017,0.131,0.983
1553890099250,2019-03-29T13.08.19.250,0.201,0.018,0.131,0.984
1553890099260,2019-03-29T13.08.19.260,0.211,0.018,0.134,0.984
1553890099270,2019-03-29T13.08.19.270,0.221,0.013,0.132,0.986
1553890099279,2019-03-29T13.08.19.279,0.230,0.017,0.132,0.984
1553890099289,2019-03-29T13.08.19.289,0.240,0.018,0.132,0.980
1553890099299,2019-03-29T13.08.19.299,0.250,0.016,0.130,0.984
1553890099310,2019-03-29T13.08.19.310,0.261,0.016,0.131,0.985
1553890099320,2019-03-29T13.08.19.320,0.271,0.014,0.131,0.983
1553890099330,2019-03-29T13.08.19.330,0.281,0.017,0.132,0.982
1553890099340,2019-03-29T13.08.19.340,0.291,0.018,0.131,0.984
1553890099349,2019-03-29T13.08.19.349,0.300,0.019,0.134,0.983
1553890099359,2019-03-29T13.08.19.359,0.310,0.018,0.133,0.983
1553890099370,2019-03-29T13.08.19.370,0.321,0.015,0.133,0.983
1553890099380,2019-03-29T13.08.19.380,0.331,0.018,0.132,0.985
1553890099390,2019-03-29T13.08.19.390,0.341,0.017,0.133,0.982
1553890099400,2019-03-29T13.08.19.400,0.351,0.014,0.131,0.985
1553890099409,2019-03-29T13.08.19.409,0.360,0.017,0.131,0.983
1553890099419,2019-03-29T13.08.19.419,0.370,0.017,0.129,0.983
1553890099430,2019-03-29T13.08.19.430,0.381,0.017,0.130,0.985
1553890099440,2019-03-29T13.08.19.440,0.391,0.015,0.132,0.983
1553890099450,2019-03-29T13.08.19.450,0.401,0.014,0.131,0.984
1553890099461,2019-03-29T13.08.19.461,0.412,0.015,0.132,0.986
1553890099471,2019-03-29T13.08.19.471,0.422,0.016,0.133,0.983
1553890099480,2019-03-29T13.08.19.480,0.431,0.017,0.132,0.984
1553890099490,2019-03-29T13.08.19.490,0.441,0.015,0.133,0.986
1553890099500,2019-03-29T13.08.19.500,0.451,0.018,0.133,0.983
1553890099510,2019-03-29T13.08.19.510,0.461,0.015,0.134,0.986
1553890099521,2019-03-29T13.08.19.521,0.472,0.015,0.133,0.986
1553890099531,2019-03-29T13.08.19.531,0.482,0.019,0.134,0.984
1553890099540,2019-03-29T13.08.19.540,0.491,0.017,0.133,0.980
1553890099550,2019-03-29T13.08.19.550,0.501,0.012,0.131,0.982
1553890099560,2019-03-29T13.08.19.560,0.511,0.012,0.133,0.986
1553890099570,2019-03-29T13.08.19.570,0.521,0.016,0.133,0.984
1553890099581,2019-03-29T13.08.19.581,0.532,0.019,0.132,0.983
1553890099591,2019-03-29T13.08.19.591,0.542,0.016,0.133,0.985
1553890099601,2019-03-29T13.08.19.601,0.552,0.017,0.132,0.985
1553890099610,2019-03-29T13.08.19.610,0.561,0.016,0.132,0.984
1553890099620,2019-03-29T13.08.19.620,0.571,0.017,0.131,0.985
1553890099630,2019-03-29T13.08.19.630,0.581,0.017,0.133,0.985
1553890099641,2019-03-29T13.08.19.641,0.592,0.016,0.132,0.983
1553890099651,2019-03-29T13.08.19.651,0.602,0.017,0.132,0.984
1553890099661,2019-03-29T13.08.19.661,0.612,0.018,0.132,0.984
1553890099671,2019-03-29T13.08.19.671,0.622,0.018,0.132,0.984
1553890099680,2019-03-29T13.08.19.680,0.631,0.017,0.133,0.983
1553890099690,2019-03-29T13.08.19.690,0.641,0.018,0.131,0.983
1553890099701,2019-03-29T13.08.19.701,0.652,0.017,0.131,0.985
1553890099711,2019-03-29T13.08.19.711,0.662,0.018,0.132,0.982
1553890099721,2019-03-29T13.08.19.721,0.672,0.018,0.131,0.984
1553890099732,2019-03-29T13.08.19.732,0.683,0.015,0.131,0.984
