epoch (ms),time (-09:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1550086347880,2019-02-13T12:32:27.880,0.000,0.098,-0.067,0.945
1550086347881,2019-02-13T12:32:27.881,0.001,0.100,-0.065,0.950
1550086347883,2019-02-13T12:32:27.883,0.003,0.099,-0.064,0.952
1550086347884,2019-02-13T12:32:27.884,0.004,0.097,-0.063,0.961
1550086347885,2019-02-13T12:32:27.885,0.005,0.103,-0.062,0.957
1550086347887,2019-02-13T12:32:27.887,0.007,0.107,-0.064,0.956
1550086347887,2019-02-13T12:32:27.887,0.007,0.106,-0.067,0.955
1550086347888,2019-02-13T12:32:27.888,0.008,0.109,-0.070,0.960
1550086347890,2019-02-13T12:32:27.890,0.010,0.112,-0.063,0.958
1550086347891,2019-02-13T12:32:27.891,0.011,0.115,-0.068,0.962
1550086347893,2019-02-13T12:32:27.893,0.013,0.111,-0.064,0.958
1550086347894,2019-02-13T12:32:27.894,0.014,0.105,-0.065,0.966
1550086347896,2019-02-13T12:32:27.896,0.016,0.117,-0.069,0.969
1550086347896,2019-02-13T12:32:27.896,0.016,0.112,-0.066,0.969
1550086347897,2019-02-13T12:32:27.897,0.017,0.123,-0.073,0.973
1550086347899,2019-02-13T12:32:27.899,0.019,0.116,-0.073,0.972
1550086347900,2019-02-13T12:32:27.900,0.020,0.124,-0.078,0.975
1550086347902,2019-02-13T12:32:27.902,0.022,0.121,-0.073,0.977
1550086347903,2019-02-13T12:32:27.903,0.023,0.126,-0.079,0.980
1550086347904,2019-02-13T12:32:27.904,0.024,0.121,-0.081,0.978
1550086347904,2019-02-13T12:32:27.904,0.024,0.125,-0.085,0.978
1550086347906,2019-02-13T12:32:27.906,0.026,0.125,-0.077,0.980
1550086347907,2019-02-13T12:32:27.907,0.027,0.131,-0.084,0.982
1550086347909,2019-02-13T12:32:27.909,0.029,0.132,-0.081,0.981
1550086347910,2019-02-13T12:32:27.910,0.030,0.131,-0.088,0.987
1550086347912,2019-02-13T12:32:27.912,0.032,0.129,-0.087,0.983
1550086347913,2019-02-13T12:32:27.913,0.033,0.133,-0.089,0.986
1550086347913,2019-02-13T12:32:27.913,0.033,0.138,-0.094,0.988
1550086347915,2019-02-13T12:32:27.915,0.035,0.141,-0.090,0.993
1550086347916,2019-02-13T12:32:27.916,0.036,0.141,-0.101,0.988
1550086347918,2019-02-13T12:32:27.918,0.038,0.142,-0.100,0.994
1550086347919,2019-02-13T12:32:27.919,0.039,0.145,-0.099,0.991
1550086347921,2019-02-13T12:32:27.921,0.041,0.144,-0.104,1.001
