epoch (ms),time (-09:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1550085303250,2019-02-13T12:15:03.250,0.000,0.337,0.057,0.937
1550085303251,2019-02-13T12:15:03.251,0.001,0.340,0.052,0.938
1550085303253,2019-02-13T12:15:03.253,0.003,0.341,0.054,0.943
1550085303254,2019-02-13T12:15:03.254,0.004,0.341,0.056,0.939
1550085303254,2019-02-13T12:15:03.254,0.004,0.339,0.054,0.945
1550085303256,2019-02-13T12:15:03.256,0.006,0.339,0.053,0.941
1550085303257,2019-02-13T12:15:03.257,0.007,0.336,0.052,0.941
1550085303259,2019-02-13T12:15:03.259,0.009,0.338,0.052,0.946
1550085303260,2019-02-13T12:15:03.260,0.010,0.342,0.058,0.940
1550085303262,2019-02-13T12:15:03.262,0.012,0.340,0.059,0.949
1550085303263,2019-02-13T12:15:03.263,0.013,0.339,0.060,0.942
1550085303263,2019-02-13T12:15:03.263,0.013,0.340,0.058,0.946
1550085303264,2019-02-13T12:15:03.264,0.014,0.336,0.056,0.946
1550085303266,2019-02-13T12:15:03.266,0.016,0.338,0.059,0.938
1550085303267,2019-02-13T12:15:03.267,0.017,0.335,0.059,0.948
1550085303269,2019-02-13T12:15:03.269,0.019,0.336,0.062,0.945
1550085303270,2019-02-13T12:15:03.270,0.020,0.336,0.058,0.940
1550085303270,2019-02-13T12:15:03.270,0.020,0.336,0.058,0.947
1550085303272,2019-02-13T12:15:03.272,0.022,0.337,0.056,0.950
1550085303273,2019-02-13T12:15:03.273,0.023,0.335,0.055,0.948
1550085303275,2019-02-13T12:15:03.275,0.025,0.336,0.061,0.943
1550085303276,2019-02-13T12:15:03.276,0.026,0.334,0.057,0.950
1550085303278,2019-02-13T12:15:03.278,0.028,0.336,0.059,0.945
1550085303279,2019-02-13T12:15:03.279,0.029,0.340,0.053,0.948
1550085303279,2019-02-13T12:15:03.279,0.029,0.339,0.054,0.943
1550085303281,2019-02-13T12:15:03.281,0.031,0.337,0.061,0.950
1550085303282,2019-02-13T12:15:03.282,0.032,0.335,0.057,0.951
1550085303283,2019-02-13T12:15:03.283,0.033,0.339,0.057,0.943
1550085303285,2019-02-13T12:15:03.285,0.035,0.336,0.059,0.947
1550085303286,2019-02-13T12:15:03.286,0.036,0.340,0.058,0.943
1550085303288,2019-02-13T12:15:03.288,0.038,0.338,0.057,0.941
1550085303288,2019-02-13T12:15:03.288,0.038,0.331,0.060,0.944
1550085303289,2019-02-13T12:15:03.289,0.039,0.336,0.053,0.946
1550085303291,2019-02-13T12:15:03.291,0.041,0.339,0.059,0.940
1550085303292,2019-02-13T12:15:03.292,0.042,0.341,0.057,0.939
1550085303294,2019-02-13T12:15:03.294,0.044,0.334,0.062,0.944
1550085303295,2019-02-13T12:15:03.295,0.045,0.337,0.061,0.945
1550085303297,2019-02-13T12:15:03.297,0.047,0.336,0.063,0.941
1550085303297,2019-02-13T12:15:03.297,0.047,0.339,0.064,0.941
1550085303298,2019-02-13T12:15:03.298,0.048,0.338,0.064,0.944
1550085303300,2019-02-13T12:15:03.300,0.050,0.334,0.060,0.950
1550085303301,2019-02-13T12:15:03.301,0.051,0.333,0.061,0.941
1550085303303,2019-02-13T12:15:03.303,0.053,0.337,0.063,0.945
1550085303304,2019-02-13T12:15:03.304,0.054,0.333,0.058,0.947
1550085303305,2019-02-13T12:15:03.305,0.055,0.337,0.067,0.945
1550085303305,2019-02-13T12:15:03.305,0.055,0.335,0.063,0.940
1550085303307,2019-02-13T12:15:03.307,0.057,0.333,0.064,0.947
1550085303308,2019-02-13T12:15:03.308,0.058,0.335,0.066,0.948
1550085303310,2019-02-13T12:15:03.310,0.060,0.335,0.062,0.948
1550085303311,2019-02-13T12:15:03.311,0.061,0.330,0.058,0.948
1550085303313,2019-02-13T12:15:03.313,0.063,0.330,0.060,0.940
1550085303314,2019-02-13T12:15:03.314,0.064,0.332,0.063,0.938
1550085303314,2019-02-13T12:15:03.314,0.064,0.330,0.066,0.944
1550085303316,2019-02-13T12:15:03.316,0.066,0.338,0.065,0.952
1550085303317,2019-02-13T12:15:03.317,0.067,0.332,0.057,0.939
1550085303319,2019-02-13T12:15:03.319,0.069,0.330,0.066,0.939
1550085303320,2019-02-13T12:15:03.320,0.070,0.339,0.068,0.952
1550085303322,2019-02-13T12:15:03.322,0.072,0.332,0.066,0.944
1550085303323,2019-02-13T12:15:03.323,0.073,0.337,0.061,0.942
1550085303323,2019-02-13T12:15:03.323,0.073,0.329,0.065,0.940
