epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1553538490704,2019-03-25T11.28.10.704,0.000,0.455,0.103,-1.079
1553538490714,2019-03-25T11.28.10.714,0.010,0.454,0.113,-1.074
1553538490724,2019-03-25T11.28.10.724,0.020,0.417,0.088,-1.058
1553538490734,2019-03-25T11.28.10.734,0.030,0.380,0.066,-1.068
1553538490745,2019-03-25T11.28.10.745,0.041,0.351,0.036,-1.085
1553538490755,2019-03-25T11.28.10.755,0.051,0.340,-0.002,-1.095
1553538490764,2019-03-25T11.28.10.764,0.060,0.368,-0.003,-1.083
1553538490774,2019-03-25T11.28.10.774,0.070,0.391,0.001,-1.031
1553538490784,2019-03-25T11.28.10.784,0.080,0.418,0.006,-0.997
1553538490794,2019-03-25T11.28.10.794,0.090,0.458,0.044,-0.990
1553538490805,2019-03-25T11.28.10.805,0.101,0.486,0.109,-0.996
1553538490815,2019-03-25T11.28.10.815,0.111,0.511,0.155,-1.021
1553538490824,2019-03-25T11.28.10.824,0.120,0.516,0.144,-1.038
1553538490834,2019-03-25T11.28.10.834,0.130,0.488,0.110,-1.056
1553538490844,2019-03-25T11.28.10.844,0.140,0.451,0.096,-1.045
1553538490854,2019-03-25T11.28.10.854,0.150,0.434,0.107,-1.008
1553538490865,2019-03-25T11.28.10.865,0.161,0.429,0.123,-0.971
1553538490873,2019-03-25T11.28.10.873,0.169,0.427,0.134,-0.951
1553538490884,2019-03-25T11.28.10.884,0.180,0.441,0.134,-0.930
1553538490894,2019-03-25T11.28.10.894,0.190,0.470,0.157,-0.899
1553538490904,2019-03-25T11.28.10.904,0.200,0.500,0.190,-0.880
1553538490914,2019-03-25T11.28.10.914,0.210,0.503,0.198,-0.880
1553538490925,2019-03-25T11.28.10.925,0.221,0.480,0.190,-0.882
1553538490934,2019-03-25T11.28.10.934,0.230,0.454,0.187,-0.884
1553538490944,2019-03-25T11.28.10.944,0.240,0.440,0.182,-0.887
1553538490954,2019-03-25T11.28.10.954,0.250,0.434,0.172,-0.871
1553538490964,2019-03-25T11.28.10.964,0.260,0.427,0.166,-0.859
1553538490975,2019-03-25T11.28.10.975,0.271,0.431,0.148,-0.856
1553538490985,2019-03-25T11.28.10.985,0.281,0.450,0.146,-0.864
1553538490994,2019-03-25T11.28.10.994,0.290,0.477,0.158,-0.890
1553538491004,2019-03-25T11.28.11.004,0.300,0.502,0.169,-0.912
1553538491014,2019-03-25T11.28.11.014,0.310,0.508,0.189,-0.908
1553538491024,2019-03-25T11.28.11.024,0.320,0.500,0.199,-0.908
1553538491035,2019-03-25T11.28.11.035,0.331,0.494,0.193,-0.913
1553538491045,2019-03-25T11.28.11.045,0.341,0.486,0.185,-0.915
1553538491054,2019-03-25T11.28.11.054,0.350,0.491,0.182,-0.922
1553538491064,2019-03-25T11.28.11.064,0.360,0.501,0.183,-0.933
1553538491074,2019-03-25T11.28.11.074,0.370,0.513,0.177,-0.938
1553538491084,2019-03-25T11.28.11.084,0.380,0.520,0.174,-0.932
1553538491095,2019-03-25T11.28.11.095,0.391,0.526,0.186,-0.915
1553538491105,2019-03-25T11.28.11.105,0.401,0.525,0.204,-0.903
1553538491114,2019-03-25T11.28.11.114,0.410,0.509,0.203,-0.903
1553538491124,2019-03-25T11.28.11.124,0.420,0.488,0.195,-0.901
1553538491134,2019-03-25T11.28.11.134,0.430,0.487,0.188,-0.891
1553538491144,2019-03-25T11.28.11.144,0.440,0.501,0.180,-0.880
1553538491155,2019-03-25T11.28.11.155,0.451,0.504,0.182,-0.877
1553538491163,2019-03-25T11.28.11.163,0.459,0.512,0.188,-0.899
1553538491174,2019-03-25T11.28.11.174,0.470,0.518,0.195,-0.919
1553538491184,2019-03-25T11.28.11.184,0.480,0.511,0.195,-0.914
1553538491194,2019-03-25T11.28.11.194,0.490,0.504,0.207,-0.898
1553538491205,2019-03-25T11.28.11.205,0.501,0.495,0.216,-0.872
1553538491215,2019-03-25T11.28.11.215,0.511,0.478,0.216,-0.850
1553538491224,2019-03-25T11.28.11.224,0.520,0.473,0.222,-0.849
1553538491234,2019-03-25T11.28.11.234,0.530,0.482,0.222,-0.861
1553538491244,2019-03-25T11.28.11.244,0.540,0.509,0.235,-0.875
1553538491254,2019-03-25T11.28.11.254,0.550,0.510,0.280,-0.863
1553538491265,2019-03-25T11.28.11.265,0.561,0.509,0.277,-0.883
1553538491275,2019-03-25T11.28.11.275,0.571,0.522,0.255,-0.972
1553538491284,2019-03-25T11.28.11.284,0.580,0.498,0.286,-0.948
1553538491294,2019-03-25T11.28.11.294,0.590,0.493,0.313,-0.927
1553538491304,2019-03-25T11.28.11.304,0.600,0.506,0.292,-0.917
1553538491314,2019-03-25T11.28.11.314,0.610,0.511,0.275,-0.899
1553538491325,2019-03-25T11.28.11.325,0.621,0.511,0.266,-0.882
1553538491335,2019-03-25T11.28.11.335,0.631,0.510,0.254,-0.872
1553538491344,2019-03-25T11.28.11.344,0.640,0.516,0.255,-0.862
1553538491354,2019-03-25T11.28.11.354,0.650,0.516,0.253,-0.870
1553538491364,2019-03-25T11.28.11.364,0.660,0.513,0.250,-0.894
1553538491374,2019-03-25T11.28.11.374,0.670,0.508,0.253,-0.918
1553538491385,2019-03-25T11.28.11.385,0.681,0.502,0.256,-0.929
1553538491395,2019-03-25T11.28.11.395,0.691,0.486,0.250,-0.928
1553538491404,2019-03-25T11.28.11.404,0.700,0.472,0.246,-0.924
1553538491414,2019-03-25T11.28.11.414,0.710,0.459,0.241,-0.923
1553538491424,2019-03-25T11.28.11.424,0.720,0.461,0.245,-0.921
1553538491434,2019-03-25T11.28.11.434,0.730,0.466,0.235,-0.911
1553538491445,2019-03-25T11.28.11.445,0.741,0.476,0.229,-0.888
1553538491454,2019-03-25T11.28.11.454,0.750,0.498,0.238,-0.862
1553538491464,2019-03-25T11.28.11.464,0.760,0.507,0.252,-0.846
1553538491474,2019-03-25T11.28.11.474,0.770,0.506,0.255,-0.849
1553538491484,2019-03-25T11.28.11.484,0.780,0.488,0.254,-0.845
1553538491495,2019-03-25T11.28.11.495,0.791,0.465,0.254,-0.845
1553538491505,2019-03-25T11.28.11.505,0.801,0.460,0.253,-0.853
1553538491514,2019-03-25T11.28.11.514,0.810,0.468,0.248,-0.858
1553538491524,2019-03-25T11.28.11.524,0.820,0.464,0.248,-0.860
1553538491534,2019-03-25T11.28.11.534,0.830,0.453,0.245,-0.867
1553538491544,2019-03-25T11.28.11.544,0.840,0.457,0.239,-0.889
1553538491555,2019-03-25T11.28.11.555,0.851,0.462,0.241,-0.884
1553538491565,2019-03-25T11.28.11.565,0.861,0.470,0.257,-0.868
1553538491574,2019-03-25T11.28.11.574,0.870,0.469,0.266,-0.866
1553538491584,2019-03-25T11.28.11.584,0.880,0.466,0.265,-0.871
1553538491594,2019-03-25T11.28.11.594,0.890,0.465,0.262,-0.875
1553538491604,2019-03-25T11.28.11.604,0.900,0.467,0.258,-0.874
1553538491615,2019-03-25T11.28.11.615,0.911,0.472,0.256,-0.878
1553538491625,2019-03-25T11.28.11.625,0.921,0.473,0.257,-0.899
1553538491634,2019-03-25T11.28.11.634,0.930,0.477,0.255,-0.917
1553538491644,2019-03-25T11.28.11.644,0.940,0.479,0.251,-0.924
1553538491654,2019-03-25T11.28.11.654,0.950,0.479,0.250,-0.919
1553538491664,2019-03-25T11.28.11.664,0.960,0.482,0.246,-0.909
1553538491675,2019-03-25T11.28.11.675,0.971,0.487,0.241,-0.911
1553538491685,2019-03-25T11.28.11.685,0.981,0.490,0.240,-0.912
1553538491694,2019-03-25T11.28.11.694,0.990,0.494,0.242,-0.911
1553538491704,2019-03-25T11.28.11.704,1.000,0.498,0.245,-0.907
1553538491714,2019-03-25T11.28.11.714,1.010,0.493,0.233,-0.901
1553538491725,2019-03-25T11.28.11.725,1.021,0.491,0.235,-0.892
1553538491735,2019-03-25T11.28.11.735,1.031,0.492,0.244,-0.904
1553538491744,2019-03-25T11.28.11.744,1.040,0.482,0.236,-0.930
1553538491754,2019-03-25T11.28.11.754,1.050,0.467,0.228,-0.943
1553538491764,2019-03-25T11.28.11.764,1.060,0.465,0.219,-0.948
1553538491774,2019-03-25T11.28.11.774,1.070,0.461,0.213,-0.947
1553538491785,2019-03-25T11.28.11.785,1.081,0.453,0.209,-0.943
1553538491795,2019-03-25T11.28.11.795,1.091,0.443,0.208,-0.938
1553538491804,2019-03-25T11.28.11.804,1.100,0.439,0.208,-0.935
1553538491814,2019-03-25T11.28.11.814,1.110,0.444,0.207,-0.921
1553538491824,2019-03-25T11.28.11.824,1.120,0.455,0.212,-0.897
1553538491834,2019-03-25T11.28.11.834,1.130,0.465,0.222,-0.885
1553538491845,2019-03-25T11.28.11.845,1.141,0.473,0.228,-0.879
1553538491855,2019-03-25T11.28.11.855,1.151,0.469,0.229,-0.876
1553538491864,2019-03-25T11.28.11.864,1.160,0.465,0.231,-0.874
1553538491874,2019-03-25T11.28.11.874,1.170,0.462,0.230,-0.879
1553538491884,2019-03-25T11.28.11.884,1.180,0.461,0.221,-0.883
1553538491894,2019-03-25T11.28.11.894,1.190,0.462,0.212,-0.881
1553538491905,2019-03-25T11.28.11.905,1.201,0.463,0.210,-0.872
1553538491915,2019-03-25T11.28.11.915,1.211,0.464,0.208,-0.865
1553538491924,2019-03-25T11.28.11.924,1.220,0.470,0.212,-0.868
1553538491934,2019-03-25T11.28.11.934,1.230,0.478,0.217,-0.874
1553538491944,2019-03-25T11.28.11.944,1.240,0.473,0.226,-0.873
1553538491955,2019-03-25T11.28.11.955,1.251,0.475,0.227,-0.871
1553538491965,2019-03-25T11.28.11.965,1.261,0.479,0.218,-0.873
1553538491975,2019-03-25T11.28.11.975,1.271,0.477,0.207,-0.879
1553538491984,2019-03-25T11.28.11.984,1.280,0.479,0.198,-0.883
1553538491994,2019-03-25T11.28.11.994,1.290,0.481,0.204,-0.882
1553538492004,2019-03-25T11.28.12.004,1.300,0.485,0.216,-0.881
1553538492015,2019-03-25T11.28.12.015,1.311,0.489,0.232,-0.881
1553538492025,2019-03-25T11.28.12.025,1.321,0.487,0.235,-0.888
1553538492035,2019-03-25T11.28.12.035,1.331,0.490,0.222,-0.895
1553538492044,2019-03-25T11.28.12.044,1.340,0.505,0.210,-0.896
1553538492054,2019-03-25T11.28.12.054,1.350,0.519,0.209,-0.898
1553538492064,2019-03-25T11.28.12.064,1.360,0.517,0.212,-0.891
1553538492075,2019-03-25T11.28.12.075,1.371,0.509,0.210,-0.886
1553538492085,2019-03-25T11.28.12.085,1.381,0.498,0.208,-0.888
1553538492094,2019-03-25T11.28.12.094,1.390,0.493,0.216,-0.895
1553538492104,2019-03-25T11.28.12.104,1.400,0.505,0.220,-0.900
1553538492114,2019-03-25T11.28.12.114,1.410,0.507,0.210,-0.902
1553538492124,2019-03-25T11.28.12.124,1.420,0.499,0.200,-0.909
1553538492135,2019-03-25T11.28.12.135,1.431,0.487,0.191,-0.911
1553538492145,2019-03-25T11.28.12.145,1.441,0.471,0.196,-0.915
1553538492154,2019-03-25T11.28.12.154,1.450,0.468,0.199,-0.913
1553538492164,2019-03-25T11.28.12.164,1.460,0.473,0.201,-0.907
1553538492174,2019-03-25T11.28.12.174,1.470,0.479,0.206,-0.899
1553538492184,2019-03-25T11.28.12.184,1.480,0.490,0.211,-0.894
1553538492195,2019-03-25T11.28.12.195,1.491,0.497,0.216,-0.893
1553538492205,2019-03-25T11.28.12.205,1.501,0.499,0.218,-0.893
1553538492214,2019-03-25T11.28.12.214,1.510,0.497,0.214,-0.887
1553538492224,2019-03-25T11.28.12.224,1.520,0.486,0.208,-0.881
1553538492234,2019-03-25T11.28.12.234,1.530,0.476,0.204,-0.887
1553538492245,2019-03-25T11.28.12.245,1.541,0.479,0.205,-0.894
1553538492255,2019-03-25T11.28.12.255,1.551,0.490,0.203,-0.903
1553538492265,2019-03-25T11.28.12.265,1.561,0.500,0.203,-0.919
1553538492274,2019-03-25T11.28.12.274,1.570,0.505,0.203,-0.933
1553538492284,2019-03-25T11.28.12.284,1.580,0.501,0.203,-0.935
1553538492294,2019-03-25T11.28.12.294,1.590,0.495,0.197,-0.929
1553538492305,2019-03-25T11.28.12.305,1.601,0.491,0.192,-0.926
1553538492315,2019-03-25T11.28.12.315,1.611,0.490,0.192,-0.917
1553538492325,2019-03-25T11.28.12.325,1.621,0.488,0.194,-0.909
1553538492334,2019-03-25T11.28.12.334,1.630,0.476,0.188,-0.917
1553538492344,2019-03-25T11.28.12.344,1.640,0.461,0.175,-0.936
